drawing_date,ball1,ball2,ball3,ball4,ball5,powerball,multiplier,jackpot,estimated_cash_value
2024-05-15,19,42,45,55,69,6,2,59000000,28502900
2024-05-18,19,36,37,42,59,19,2,77000000,37198700
2024-05-20,1,7,48,64,68,5,2,88000000,42512800
2024-05-22,5,16,18,26,67,4,3,100000000,48310000
2024-05-25,6,33,35,36,64,24,3,120000000,57972000
2024-05-27,9,30,39,49,59,21,5,131000000,63286100
2024-05-29,17,34,56,60,61,9,2,143000000,69083300
2024-06-01,28,38,52,54,68,8,2,161000000,77779100
2024-06-03,19,29,35,36,45,16,2,171000000,82610100
2024-06-05,8,44,45,51,69,12,3,185000000,89373500
2024-06-08,8,38,52,54,64,15,3,206000000,99518600
2024-06-10,3,10,33,58,59,9,2,222600000,107538060
2024-06-12,19,30,31,61,62,21,2,20000000,9662000
2024-06-15,4,36,48,54,56,2,3,34000000,16425400
2024-06-17,30,48,53,58,66,9,2,44000000,21256400
2024-06-19,4,27,44,50,64,7,3,56000000,27053600
2024-06-22,4,5,15,32,62,21,2,72000000,34783200
2024-06-24,5,6,36,53,69,8,2,84000000,40580400
2024-06-26,4,9,36,47,56,7,5,95000000,45894500
2024-06-29,26,51,54,61,69,25,3,113000000,54590300
2024-07-01,5,9,32,39,55,9,2,125000000,60387500
2024-07-03,2,26,33,55,57,22,2,139300000,67295830
2024-07-06,5,32,35,39,49,21,2,20000000,9662000
2024-07-08,20,22,31,33,45,1,3,29000000,14009900
2024-07-10,7,11,12,27,46,26,3,41000000,19807100
2024-07-13,9,55,59,66,69,21,2,54000000,26087400
2024-07-15,9,31,39,40,45,23,3,64000000,30918400
2024-07-17,24,27,32,47,66,26,2,75000000,36232500
2024-07-20,18,25,31,40,57,4,3,91000000,43962100
2024-07-22,31,36,56,58,69,20,2,102000000,49276200
2024-07-24,16,42,59,63,68,13,2,114000000,55073400
2024-07-27,3,31,37,40,64,17,3,131000000,63286100
2024-07-29,11,27,30,33,44,16,3,144000000,69566400
2024-07-31,23,34,37,50,58,7,2,154000000,74397400
2024-08-03,13,33,40,60,61,20,3,171000000,82610100
2024-08-05,29,42,44,51,54,12,2,174000000,84059400
2024-08-07,6,19,35,47,57,9,3,185000000,89373500
2024-08-10,9,24,33,64,69,9,2,201000000,97103100
2024-08-12,9,22,57,67,68,14,3,213800000,103286780
2024-08-14,8,9,23,29,62,13,2,20000000,9662000
2024-08-17,12,31,43,45,46,22,5,35000000,16908500
2024-08-19,1,2,15,23,28,10,2,44300000,21401330
2024-08-21,27,31,33,38,67,3,2,20000000,9662000
2024-08-24,5,15,21,24,43,17,3,34000000,16425400
2024-08-26,2,4,23,68,69,15,3,44000000,21256400
2024-08-28,5,33,47,50,64,20,2,54000000,26087400
2024-08-31,4,34,35,38,69,19,2,69000000,33333900
2024-09-02,8,42,46,48,53,22,3,80000000,38648000
2024-09-04,7,10,21,33,59,20,3,93000000,44928300
2024-09-07,14,34,37,55,63,20,2,112000000,54107200
2024-09-09,1,16,21,47,60,5,3,121000000,58455100
2024-09-11,10,12,55,65,67,3,3,134000000,64735400
2024-09-14,29,34,38,48,56,16,2,152000000,73431200
2024-09-16,8,9,11,27,31,17,5,165000000,79711500
2024-09-18,1,11,22,47,68,7,4,176000000,85025600
2024-09-21,17,19,21,37,45,14,2,195000000,94204500
2024-09-23,15,21,25,37,45,19,3,208000000,100484800
2024-09-25,2,26,45,46,52,21,2,223000000,107731300
2024-09-28,3,11,13,24,39,22,3,243000000,117393300
2024-09-30,9,11,30,43,69,20,2,258000000,124639800
2024-10-02,1,2,21,37,43,21,3,275000000,132852500
2024-10-05,2,12,46,52,65,3,2,295000000,142514500
2024-10-07,18,30,31,52,63,22,2,315000000,152176500
2024-10-09,25,32,43,53,66,10,3,336000000,162321600
2024-10-12,5,14,20,41,57,6,3,364000000,175848400
2024-10-14,14,18,33,64,67,14,2,388000000,187442800
2024-10-16,4,30,39,44,60,11,2,408000000,197104800
2024-10-19,7,16,19,45,64,25,3,437000000,211114700
2024-10-21,1,25,57,62,64,15,2,456000000,220293600
2024-10-23,2,15,27,29,39,20,2,478200000,231018420
2024-10-26,8,12,40,45,51,15,2,20000000,9662000
2024-10-28,21,27,32,48,67,17,2,28000000,13526800
2024-10-30,13,22,29,43,58,22,3,39000000,18840900
2024-11-02,10,45,48,58,61,2,3,54000000,26087400
2024-11-04,6,18,33,48,53,21,10,63000000,30435300
2024-11-06,12,17,37,58,62,4,2,75000000,36232500
2024-11-09,11,24,50,56,66,16,2,92000000,44445200
2024-11-11,3,21,24,34,46,9,3,103000000,49759300
2024-11-13,9,20,26,43,58,9,2,113000000,54590300
2024-11-16,21,22,25,32,38,16,5,130000000,62803000
2024-11-20,16,30,60,62,64,25,3,155000000,74880500
2024-11-23,12,13,34,44,67,8,3,171000000,82610100
2024-11-25,5,35,45,60,63,12,2,184000000,88890400
2024-11-27,1,6,7,13,40,5,5,196000000,94687600
2024-11-30,4,24,29,39,63,25,4,214000000,103383400
2024-12-02,3,9,26,61,67,13,2,224000000,108214400
2024-12-04,1,23,25,28,61,13,2,240000000,115944000
2024-12-07,1,31,43,55,57,22,2,256000000,123673600
2024-12-09,35,37,40,45,51,24,2,20000000,9662000
2024-12-11,13,44,50,52,54,20,2,30000000,14493000
2024-12-14,12,17,23,52,67,1,2,45000000,21739500
2024-12-16,9,30,33,57,61,17,2,55000000,26570500
2024-12-18,6,15,18,33,49,7,2,69000000,33333900
2024-12-21,1,12,17,21,58,1,3,88000000,42512800
2024-12-23,22,42,44,57,64,18,2,103000000,49759300
2024-12-25,15,26,27,30,35,3,3,117000000,56522700
2024-12-28,6,31,51,54,55,12,2,145000000,70049500
2024-12-30,9,19,33,38,39,1,3,163000000,78745300
2025-01-01,6,12,28,35,66,26,3,178000000,85991800
2025-01-04,26,32,43,54,56,24,2,200000000,96620000
2025-01-06,17,34,46,66,67,14,2,220000000,106282000
2025-01-08,1,20,36,38,43,24,2,240000000,115944000
2025-01-11,3,6,32,37,65,4,3,263000000,127055300
2025-01-13,4,6,16,39,66,9,2,285000000,137683500
2025-01-15,8,41,52,53,58,7,3,303000000,146379300
2025-01-18,14,31,35,64,69,23,2,328500000,158698350
2025-01-20,15,16,32,47,54,6,3,20000000,9662000
2025-01-22,5,6,27,40,49,5,2,31000000,14976100
2025-01-25,8,15,17,53,66,14,3,46000000,22222600
2025-01-27,2,40,47,53,55,20,2,56000000,27053600
2025-01-29,8,12,31,33,38,18,3,69000000,33333900
2025-02-01,23,29,32,49,61,8,2,89000000,42995900
2025-02-03,12,37,47,54,60,17,3,100000000,48310000
2025-02-05,19,27,30,50,62,14,3,113000000,54590300
2025-02-08,23,44,57,60,62,9,2,133000000,64252300
2025-02-10,2,17,18,29,43,3,3,142000000,68600200
2025-02-12,21,32,36,45,49,18,2,154000000,74397400
2025-02-15,3,16,45,54,56,12,2,172000000,83093200
2025-02-17,4,44,47,52,57,9,4,183000000,88407300
2025-02-19,6,21,28,49,60,20,2,195000000,94204500
2025-02-22,7,18,22,50,65,15,2,215000000,103866500
2025-02-24,10,11,34,59,68,14,3,230000000,111113000
2025-02-26,28,48,55,60,62,20,2,248000000,119808800
2025-03-01,2,23,36,44,49,25,3,272000000,131403200
2025-03-03,18,20,50,52,56,20,2,279000000,134784900
2025-03-05,24,28,40,63,65,20,3,295000000,142514500
2025-03-08,2,4,16,23,63,13,3,320000000,154592000
2025-03-10,17,40,47,50,55,6,2,335000000,161838500
2025-03-12,11,13,28,51,58,1,2,353000000,170534300
2025-03-15,12,28,33,36,54,5,3,378000000,182611800
2025-03-17,11,18,23,38,60,9,2,398000000,192273800
2025-03-19,8,11,21,49,59,15,2,416000000,200969600
2025-03-22,6,7,25,46,57,12,3,444000000,214496400
2025-03-24,6,23,35,36,47,12,2,461000000,222709100
2025-03-26,5,20,29,39,53,6,3,484000000,233820400
2025-03-29,7,11,21,53,61,2,3,526500000,254352150
2025-03-31,12,41,44,52,64,25,2,20000000,9662000
2025-04-02,5,17,41,64,69,1,2,30000000,14493000
2025-04-05,4,23,30,46,62,2,4,47000000,22705700
2025-04-07,20,23,48,59,66,4,2,54000000,26087400
2025-04-09,4,29,37,55,67,10,4,65000000,31401500
2025-04-12,16,22,44,45,53,19,2,82000000,39614200
2025-04-14,3,20,30,52,62,1,3,100000000,48310000
2025-04-16,20,24,42,43,49,19,3,113000000,54590300
2025-04-19,7,25,37,39,63,1,3,131000000,63286100
2025-04-21,4,33,45,46,51,25,3,139000000,67150900
2025-04-23,15,44,63,66,69,20,2,151000000,72948100
2025-04-26,1,12,14,18,69,2,3,167300000,80822630
2025-04-28,26,43,51,56,60,24,4,20000000,9662000
2025-04-30,1,2,3,57,59,9,2,30000000,14493000
2025-05-03,10,21,23,35,65,24,2,44000000,21256400
2025-05-05,16,34,40,45,66,19,2,54000000,26087400
2025-05-07,14,15,30,40,59,20,3,65000000,31401500
2025-05-10,5,20,28,39,42,13,2,82000000,39614200
2025-05-12,15,16,41,48,60,21,3,93000000,44928300
2025-05-14,4,10,24,29,53,4,3,106000000,51208600
2025-05-17,7,34,40,42,52,15,2,123000000,59421300
2025-05-19,13,14,37,50,60,11,2,134000000,64735400
2025-05-21,9,29,31,34,43,2,2,146000000,70532600
2025-05-24,12,18,28,48,52,5,3,163000000,78745300
2025-05-26,13,47,52,64,67,25,2,177000000,85508700
2025-05-28,23,27,32,35,59,11,2,189000000,91305900
2025-05-31,1,29,37,56,68,13,2,204500000,98793950
2025-06-02,1,7,44,57,61,21,3,20000000,9662000
2025-06-04,5,17,23,35,45,24,10,30000000,14493000
2025-06-07,31,36,43,48,62,25,2,44000000,21256400
2025-06-09,30,33,40,43,52,25,4,54000000,26087400
2025-06-11,13,25,29,37,53,3,2,65000000,31401500
2025-06-14,4,6,9,23,59,25,3,80000000,38648000
2025-06-16,17,21,23,27,52,19,5,90000000,43479000
2025-06-18,23,29,50,64,67,11,2,101000000,48793100
2025-06-21,3,16,32,52,62,24,3,118000000,57005800
2025-06-23,5,25,42,44,65,20,3,128000000,61836800
2025-06-25,2,12,37,51,61,22,3,140000000,67634000
2025-06-28,4,35,43,52,62,12,2,155000000,74880500
2025-06-30,13,28,44,52,55,6,4,162000000,78262200
2025-07-02,7,19,21,54,63,21,2,174000000,84059400
2025-07-05,1,28,34,50,58,8,2,190000000,91789000
2025-07-07,33,35,58,61,69,25,5,203000000,98069300
2025-07-09,5,9,25,28,69,5,2,216000000,104349600
2025-07-12,8,16,24,33,54,18,2,234000000,113045400
2025-07-14,8,12,45,46,63,24,2,248000000,119808800
2025-07-19,28,48,51,61,69,20,3,288000000,139132800
2025-07-21,8,11,28,33,42,2,2,308000000,148794800
2025-07-23,2,18,19,25,35,25,3,325000000,157007500
2025-07-26,8,31,57,65,67,23,3,350000000,169085000
2025-07-28,7,35,36,43,62,3,3,364000000,175848400
2025-07-30,4,15,35,50,64,8,4,384000000,185510400
2025-08-02,6,18,34,35,36,2,2,410000000,198071000
2025-08-04,8,9,19,31,38,21,2,426000000,205800600
2025-08-06,15,27,43,45,53,9,2,449000000,216911900
2025-08-09,7,14,23,24,60,14,2,482000000,232854200
2025-08-11,6,16,33,40,62,2,2,501000000,242033100
2025-08-16,23,40,49,65,69,23,3,565000000,272951500
2025-08-18,15,46,61,63,64,1,3,605000000,292275500
2025-08-20,31,59,62,65,68,5,2,643000000,310633300
2025-08-23,11,14,34,47,51,18,2,700000000,338170000
2025-08-25,16,19,34,37,64,22,3,750000000,362325000
2025-08-27,9,12,22,41,61,25,4,850000000,410635000
2025-08-30,3,18,22,27,33,17,3,1000000000,483100000
2025-09-01,8,23,25,40,53,5,3,1100000000,531410000
2025-09-03,3,16,29,61,69,22,2,1400000000,676340000
2025-09-06,11,23,44,61,62,17,2,1800000000,869580000
2025-09-08,26,28,41,53,64,9,3,20000000,9662000
2025-09-10,2,24,45,53,64,5,2,33000000,15942300
2025-09-15,14,15,32,42,49,1,2,64000000,30918400
2025-09-17,7,30,50,54,62,20,2,81000000,39131100
2025-09-20,15,29,64,66,67,4,2,99000000,47826900
2025-09-22,3,29,42,46,59,15,3,113000000,54590300
2025-09-24,15,31,45,49,53,19,3,127000000,61353700
2025-09-27,10,16,32,61,66,4,2,145000000,70049500
2025-09-29,1,3,27,60,65,16,5,160000000,77296000
2025-10-01,8,17,22,28,55,14,3,174000000,84059400
2025-10-04,3,7,47,67,68,2,2,195000000,94204500
2025-10-06,28,29,32,66,67,3,2,207000000,100001700
2025-10-08,8,10,44,48,54,14,2,223000000,107731300
2025-10-11,13,16,18,20,27,10,2,244000000,117876400
2025-10-13,13,14,32,52,64,12,2,258000000,124639800
2025-10-15,10,13,28,34,47,15,3,273000000,131886300
2025-10-18,3,11,27,40,58,10,3,295000000,142514500
2025-10-20,32,38,66,67,69,19,2,304000000,146862400
2025-10-22,18,37,52,54,60,12,2,320000000,154592000
2025-10-25,2,12,22,39,67,15,2,344000000,166186400
2025-10-27,17,39,43,51,66,20,2,358000000,172949800
2025-10-29,4,24,49,60,65,1,2,376000000,181645600
2025-11-01,2,26,43,44,62,22,2,400000000,193240000
2025-11-03,3,32,40,43,57,18,2,419000000,202418900
2025-11-05,9,17,29,61,66,26,5,438000000,211597800
2025-11-08,3,53,60,62,68,11,2,467000000,225607700
2025-11-10,6,28,44,48,58,23,2,490000000,236719000
2025-11-12,29,39,43,51,65,23,2,512000000,247347200
2025-11-15,6,7,12,47,53,21,4,546000000,263772600
2025-11-17,7,33,50,57,66,23,5,570000000,275367000
2025-11-19,10,31,49,51,68,19,2,593000000,286478300
2025-11-22,28,32,36,51,69,2,2,629000000,303869900
2025-11-24,8,16,26,30,58,14,2,654000000,315947400
2025-11-26,7,8,15,19,28,3,3,681000000,328991100
2025-11-29,19,22,30,32,59,1,2,719000000,347348900
2025-12-01,5,18,26,47,59,1,3,740000000,357494000
