drawing_date,ball1,ball2,ball3,ball4,ball5,star1,star2,prizes
2025-10-31,5,14,38,43,45,7,11,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 7563535020, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 40571130, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 3160710, 'winners': 6, 'specialPrize': 0}, 'rank4': {'prize': 144070, 'winners': 41, 'specialPrize': 0}, 'rank5': {'prize': 15450, 'winners': 704, 'specialPrize': 0}, 'rank6': {'prize': 6980, 'winners': 1646, 'specialPrize': 0}, 'rank7': {'prize': 5230, 'winners': 1545, 'specialPrize': 0}, 'rank8': {'prize': 1530, 'winners': 26385, 'specialPrize': 0}, 'rank9': {'prize': 1310, 'winners': 34264, 'specialPrize': 0}, 'rank10': {'prize': 1110, 'winners': 75210, 'specialPrize': 0}, 'rank11': {'prize': 680, 'winners': 148030, 'specialPrize': 0}, 'rank12': {'prize': 600, 'winners': 528099, 'specialPrize': 0}, 'rank13': {'prize': 440, 'winners': 1165262, 'specialPrize': 0}}, 'jackpot': '75', 'currency': 'EUR', 'next_jackpot': '84', 'current_jackpot': '75'}"
2025-10-28,7,8,24,35,49,2,12,"{'prize': 3.74, 'winners': 917369, 'next_jackpot': '75', 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-24,7,8,25,31,45,7,12,"{'prize': 3.73, 'winners': 1166133, 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-21,5,24,29,40,42,6,12,"{'prize': 3.95, 'winners': 812936, 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-17,13,35,39,44,47,3,5,"{'prize': 4.63, 'winners': 888164, 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-14,5,8,14,16,18,3,10,"{'prize': 3.39, 'winners': 876026, 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-10,6,7,17,20,21,1,10,"{'prize': 3.08, 'winners': 1360688, 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-07,24,39,42,43,48,5,8,"{'prize': 4.91, 'winners': 623926, 'matched_stars': 0, 'matched_numbers': 2}"
2025-10-03,6,12,18,25,41,2,6,"{'prize': 3.86, 'winners': 1109294, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-30,3,8,15,17,48,2,8,"{'prize': 3.72, 'winners': 848336, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-26,4,17,25,28,44,5,11,"{'prize': 3.65, 'winners': 1999731, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-23,11,13,24,29,33,2,5,"{'prize': 3.53, 'winners': 1015359, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-19,8,10,26,32,42,9,12,"{'prize': 3.81, 'winners': 1168223, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-16,1,9,13,35,40,5,6,"{'prize': 4.09, 'winners': 824639, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-12,5,10,23,31,37,3,11,"{'prize': 3.72, 'winners': 1136356, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-09,3,13,24,39,40,2,8,"{'prize': 3.92, 'winners': 807700, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-05,27,30,31,41,43,5,8,"{'prize': 4.52, 'winners': 1046162, 'matched_stars': 0, 'matched_numbers': 2}"
2025-09-02,13,30,31,32,36,1,12,"{'prize': 4.11, 'winners': 880244, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-29,6,9,10,13,37,1,7,"{'prize': 3.65, 'winners': 1208430, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-26,2,14,38,42,45,10,11,"{'prize': 4.22, 'winners': 770372, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-22,6,9,12,30,39,4,10,"{'prize': 3.59, 'winners': 1170392, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-19,24,31,34,41,43,6,8,"{'prize': 4.51, 'winners': 1622924, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-15,13,30,35,36,40,2,6,"{'prize': 4.45, 'winners': 1688844, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-12,18,28,42,46,48,3,9,"{'prize': 4.51, 'winners': 1364969, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-08,2,12,19,34,44,6,10,"{'prize': 3.7, 'winners': 1883537, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-05,1,3,5,42,47,5,10,"{'prize': 4.11, 'winners': 1303797, 'matched_stars': 0, 'matched_numbers': 2}"
2025-08-01,4,16,25,29,30,2,10,"{'prize': 3.75, 'winners': 1683554, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-29,5,6,42,44,46,4,8,"{'prize': 4.39, 'winners': 1121436, 'matched_stars': 0, 'matched_numbers': 2}"
